2.88,467,478,12551,2179,162,4,50,5,2.88
3.62,465,490,13864,2037,155,5,50,5,3.62
2.78,418,450,13322,1530,147,6,50,5,2.78
3.17,465,502,15393,1859,140,11,50,5,3.17
2.1,335,355,8555,586,72,5,50,4,2.1
2.79,416,458,13609,1232,118,4,50,5,2.79
3.05,502,529,16742,1711,197,12,50,5,3.05
2.31,306,337,8543,784,73,5,50,4,2.31
3.52,445,457,14621,1430,156,7,50,5,3.52
2.12,367,405,11257,1193,101,3,50,4,2.12
1.69,427,428,12908,967,110,2,50,4,1.69
2.76,462,492,13482,1551,172,4,50,5,2.76
3.25,421,452,10715,915,111,8,50,5,3.25
3.04,567,538,16172,2043,221,13,50,5,3.04
3.72,487,528,14838,1481,180,12,50,5,3.72
3.4,457,478,13424,1808,161,9,50,5,3.4
2.68,476,525,14081,1046,169,7,50,5,2.68
2.7,477,503,11124,1717,178,7,50,5,2.7
2.62,359,370,9717,528,86,9,50,4,2.62
3.83,519,538,16649,2713,187,7,50,5,3.83
2.76,470,530,12519,2056,169,16,50,5,2.76
3.49,538,531,14992,1809,178,10,50,5,3.49
2.81,519,479,13438,3367,172,6,50,5,2.81
1.95,351,366,8765,563,93,2,50,4,1.95
1.51,375,404,8529,930,126,8,50,4,1.51
2.71,524,544,17197,2343,192,6,50,5,2.71
2.55,451,465,14615,1741,146,3,50,5,2.55
2.53,416,420,11220,1078,95,4,50,4,2.53
2.63,581,588,18773,2522,210,10,50,5,2.63
3.83,559,562,14319,2716,208,12,50,5,3.83
2.38,572,523,9253,5226,222,6,50,4,2.38
3.06,600,545,18207,3586,231,8,50,5,3.06
3.18,443,448,12227,1027,97,2,50,5,3.18
3.51,577,581,14514,2439,223,13,50,5,3.51
3.04,528,543,14407,2033,201,7,50,5,3.04
3.97,499,520,10914,1767,165,9,50,5,3.97
3.42,474,525,12628,1970,186,4,50,5,3.42
3.57,521,562,18659,2410,204,4,50,5,3.57
2.97,421,446,10985,1205,144,7,50,4,2.97
2.43,471,501,13588,1360,188,3,50,5,2.43
1.96,450,486,14211,1813,155,2,50,4,1.96
3.68,547,567,18960,2101,213,10,50,5,3.68
3.17,458,475,16549,1343,128,3,50,5,3.17
2.09,490,501,12779,1793,166,5,50,4,2.09
2.24,379,395,12983,679,77,6,50,4,2.24
2.34,447,469,12776,2146,141,5,50,4,2.34
2.12,481,513,12779,2349,196,5,50,4,2.12
3.22,471,523,15142,2184,146,5,50,5,3.22
2.11,420,457,15152,1177,117,4,50,4,2.11
3.39,481,495,12063,1478,158,4,50,5,3.39
4.14,563,564,19221,1989,207,12,50,5,4.14
1.66,309,339,7254,475,55,5,50,4,1.66
1.94,438,386,9952,1202,107,6,50,4,1.94
1.87,318,325,5760,228,49,3,50,4,1.87
1.98,468,473,11743,1489,152,5,50,4,1.98
3.29,426,438,12601,1893,138,2,50,5,3.29
2.42,444,473,11743,1056,133,3,50,4,2.42
2.25,490,503,14412,1798,215,7,50,5,2.25
2.84,532,541,14097,2116,198,14,50,5,2.84
1.79,312,319,7224,298,41,2,50,4,1.79
2.12,531,543,15646,2155,188,8,50,5,2.12
2.92,402,442,9804,1081,114,4,50,4,2.92
3.1,457,494,13327,1216,152,7,50,5,3.1
3.21,428,468,12335,1290,120,5,50,5,3.21
