3.89,468,522,16287,1872,130,5,50,0
2.45,365,410,10273,767,101,3,50,0
2.21,344,374,10282,914,75,2,50,0
1.9,406,445,10497,1193,138,4,50,0
2.41,428,474,11741,1525,131,5,50,0
2.52,383,401,10194,1124,82,4,50,0
2.38,386,438,10883,1134,90,2,50,0
3.04,424,461,13562,578,118,9,50,0
3.82,474,491,11704,1067,184,6,50,0
2.8,410,453,10465,1252,130,4,50,0
2.19,393,476,13804,1027,105,1,50,0
1.79,435,291,8076,420,49,0,50,0
2.66,898,326,8985,1050,12,0,50,0
3.38,435,355,9320,717,73,2,50,0
2.64,443,431,16162,437,110,2,50,0
3.98,423,478,12071,1736,160,7,50,0
2.31,424,459,12669,916,129,2,50,0
1.98,433,440,11998,1242,147,5,50,0
2.59,387,441,11143,1191,121,11,50,0
2.33,404,439,12203,1105,122,1,50,0
3.58,392,453,11501,556,138,4,50,0
3.04,443,496,13172,949,136,5,50,0
2.82,362,349,7808,760,49,5,50,0
3.35,365,416,10190,1535,113,9,15,0
2.5,135,146,3770,676,43,1,50,0
4.7,519,527,17695,2130,162,4,50,0
3.81,416,436,9775,1233,123,3,50,0
2.31,370,424,12515,1235,106,4,50,0
2.6,385,421,10665,782,76,5,50,0
2.19,402,440,14087,893,92,1,50,0
2.52,381,423,9991,1314,109,5,50,0
2.6,363,385,9842,1183,92,2,50,0
2.41,358,383,11401,1033,88,9,50,0
3.07,442,474,14028,1359,127,3,50,0
3.15,494,513,11298,1691,181,4,50,0
2.79,503,526,15884,2317,183,6,50,0
1.04,400,144,3617,399,7,0,50,0
2.95,442,309,6673,906,74,1,50,0
2.34,410,350,10303,1048,82,0,50,0
2.64,480,433,15122,1036,104,2,50,0
2.81,399,432,9389,1886,130,7,50,0
1.92,362,383,8573,553,94,3,50,0
2.54,396,432,11463,1158,113,3,50,0
2.15,403,437,12037,1194,132,6,50,0
2.15,359,402,8943,1207,106,4,50,0
1.6,361,381,12373,937,96,1,50,0
2.03,490,541,18650,3391,117,2,50,0
2.52,339,397,9929,720,83,2,28,0
1.55,444,341,7514,862,97,1,50,0
3.64,341,333,12802,328,56,1,50,0
2.84,379,368,7846,1078,101,3,50,0
2.47,385,363,6500,886,77,4,50,0
1.52,357,278,3995,863,65,3,50,0
1.88,472,454,13584,1291,141,3,50,0
2.93,471,485,11107,1342,147,5,50,0
2.99,450,379,11464,1212,114,2,50,0
2.48,370,356,8390,871,85,1,50,0
3.2,391,368,8126,1003,94,5,50,0
2.39,399,384,9676,904,118,3,50,0
2.8,432,322,6375,730,74,3,50,0
3.06,435,419,10428,1581,135,5,50,0
2.79,426,372,9606,1139,108,4,50,0
2.29,356,312,7185,334,58,2,50,0
2.52,380,356,9766,768,86,4,50,0
4.23,632,650,20174,2354,248,7,50,0
2.15,401,444,12223,505,150,4,50,0
2.47,418,441,14027,1088,112,7,50,0
2.43,514,551,15301,2537,234,8,50,0
0.83,309,464,3723,73,38,5,5,0
2.56,401,450,10778,1226,107,1,42,0
1.95,411,428,9644,1609,114,4,6,0
2.4,427,460,11999,1611,144,4,50,0
3.79,435,482,13934,1521,150,4,50,0
2.91,437,454,10598,1329,136,5,50,0
2.82,457,487,13157,1446,159,8,50,0
2.23,361,382,8448,922,96,7,50,0
2.45,411,431,11145,1285,138,9,50,0
2.61,506,496,12255,1237,170,8,50,1
0.0,101,0,0,0,0,0,50,1
3.31,845,130,1763,982,5,0,50,1
0.0,704,80,0,0,3,0,50,1
0.0,694,84,0,0,3,0,50,1
1.2,376,170,4763,666,17,0,50,1
